id_Hotel,Nome_Hotel,Cidade,Contacto,Classificacao,Endereco
1,"El Palace Barcelona",Barcelona,"+31 23 12 34 456",4.8,"Gran Via de les Corts Catalanes, 668, Eixample, 08010 Barcelona, Espanha"
2,"Hotel Liabeny",Madrid,"+32 12 32 111",4.7,"Salud, 3, Centro de Madrid, 28013 Madrid, Espanha"
3,"NH Madrid Nacional",Madrid,"+32 45 12 342",4.0,"Paseo del Prado, 48, Centro de Madrid, 28014 Madrid, Espanha"
4,"Jupiter Lisboa Hotel",Lisboa,"+21 34 21 321",4.2,"Avenida da Republica, 46, Avenidas Novas, 1050-195 Lisboa, Portugal"
5,"Sheraton Porto Hotel & Spa",Porto,"+23 23 12 233",5.0,"Rua Tenente Valadim, 146, Lordelo do Ouro e Massarelos, 4100-476 Porto, Portugal"
6,"Hotel The Peninsula Paris",Paris,"+35 32 13 432",5.0,"19 avenue Kleber, 16º arrondissement, 75116 Paris, França"
7,"Park Plaza Westminster Bridge London",Londres,"+34 21 31 312",4.3,"Westminster Bridge Road, Lambeth, Londres, SE1 7UT, Reino Unido"
8,"Meliá Berlin",Berlim,"+36 21 32 212",4.5,"Friedrichstr. 103, Mitte, 10117 Berlim, Alemanha"
9,"Vincci Gala",Barcelona,"+31 32 12 432",4.0,"Ronda Sant Pere, 32, Eixample, 08010 Barcelona, Espanha"
10,"Hotel Princesa Lisboa Centro",Lisboa,"+21 23 21 323",3.5,"Rua Gomes Freire, 130, Arroios, 1150-180 Lisboa, Portugal"
11,"The Church Palace",Roma,"+33 21 34 211",4.6,"Via Aurelia 481, Aurélio, 00165 Roma, Itália"
12,"Hotel Rialto",Veneza,"+30 43 65 676",4.8,"Riva del Ferro, San Marco, 30124 Veneza, Itália"
